,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
,U+0139,,,,,305,00C5,,,Lacute,latin capital letter l with acute
,039B,,,,,,,114,4C,Lambda,GREEK CAPITAL LETTER LAMDA
,03BB,,,,,,,154,6C,lambda,GREEK SMALL LETTER LAMDA
,U+013d,,,,,274,00BC,,,Lcaron,latin capital letter l with caron
,U+013e,,,,,276,00BE,,,lcaron,latin small letter l with caron
60,003C,74,003C,74,003C,74,003C,74,3C,less,Less-than sign
,2264,,,,,,,243,A3,lessequal,LESS-THAN OR EQUAL TO
,2227,,,,,,,331,D9,logicaland,LOGICAL AND
172,00AC,,,254,00AC,254,00AC,330,D8,logicalnot,not sign
,2228,,,,,,,332,DA,logicalor,LOGICAL OR
,25CA,,,,,,,340,E0,lozenge,LOZENGE
,U+0141,350,E8,,,243,00A3,,,Lslash,latin capital letter l with stroke
,U+0142,370,00F8,,,263,00B3,,,lslash,
77,004D,115,004D,115,004D,115,004D,,,M,latin capital letter m
109,006D,155,006D,155,006D,155,006D,,,m,latin small letter m
175,00AF,305,00C5,257,00AF,,,,,macron,macron
,02C9,305,C5,,,,,,,macron,MODIFIER LETTER MACRON
45,002D,,,55,002D,,,55,2D,minus,Hyphen-minus
,2212,,,,,,,055,2D,minus,MINUS SIGN
,2032,,,,,,,242,A2,minute,PRIME
,039C,,,,,,,115,4D,Mu,GREEK CAPITAL LETTER MU
,03BC,,,,,,,155,6D,mu,GREEK SMALL LETTER MU
181,00B5,,,265,00B5,265,00B5,,,mu,micro sign
,00B5,,,,,,,155,6D,mu,MICRO SIGN
215,00D7,,,327,00D7,327,00D7,264,B4,multiply,multiplication sign
,00D7,,,,,,,264,B4,multiply,MULTIPLICATION SIGN
78,004E,116,004E,116,004E,116,004E,,,N,latin capital letter n
,004E,116,4E,,,,,,,N,LATIN CAPITAL LETTER N
110,006E,156,006E,156,006E,156,006E,,,n,latin small letter n
,006E,156,6E,,,,,,,n,LATIN SMALL LETTER N
,U+0143,,,,,321,00D1,,,Nacute,latin capital letter n with acute
,U+0144,,,,,361,00F1,,,nacute,latin small letter n with acute
,U+0147,,,,,322,00D2,,,Ncaron,latin capital letter n with caron
,U+0148,,,,,362,00F2,,,ncaron,latin small letter n with caron
57,39,71,39,71,39,71,39,71,39,nine,digit nine
,2209,,,,,,,317,CF,notelement,NOT AN ELEMENT OF
,2260,,,,,,,271,B9,notequal,NOT EQUAL TO
,2284,,,,,,,313,CB,notsubset,NOT A SUBSET OF
209,00D1,,,321,00D1,,,,,Ntilde,latin capital letter n with tilde
241,00F1,,,361,00F1,,,,,ntilde,latin small letter n with tilde
,039D,,,,,,,116,4E,Nu,GREEK CAPITAL LETTER NU
,03BD,,,,,,,156,6E,nu,GREEK SMALL LETTER NU
